id,tested_positive
0,21.134457
1,4.516373
2,4.5296164
3,12.163814
4,4.6624484
5,26.80404
6,25.295134
7,8.061087
8,12.151561
9,12.212057
10,18.554691
11,19.639874
12,21.90342
13,12.592215
14,20.69398
15,19.125101
16,27.355923
17,8.488963
18,22.237879
19,5.077152
20,6.526621
21,22.937916
22,18.42801
23,13.5738735
24,12.445589
25,27.018446
26,24.197128
27,27.152866
28,8.058621
29,19.130796
30,11.46863
31,8.106445
32,26.949112
33,12.531941
34,21.514938
35,29.851702
36,13.517176
37,8.583008
38,15.155653
39,10.024357
40,15.261511
41,6.4950466
42,9.055388
43,17.139643
44,7.464019
45,16.055857
46,15.08365
47,4.7208014
48,7.175221
49,16.5358
50,16.39862
51,13.514114
52,13.751954
53,8.225429
54,13.843281
55,28.904991
56,10.718073
57,16.130465
58,32.769184
59,11.748635
60,19.89793
61,21.860235
62,25.419632
63,22.568527
64,19.570375
65,5.2472177
66,13.497679
67,22.437027
68,31.927416
69,17.381361
70,20.534586
71,16.280947
72,13.30258
73,24.990988
74,13.8052
75,4.310619
76,17.746748
77,13.651184
78,9.428871
79,7.3814683
80,17.43953
81,12.016997
82,12.433919
83,15.602187
84,10.114251
85,17.290762
86,23.227098
87,12.529813
88,7.2001357
89,17.472271
90,26.792727
91,33.38471
92,17.470987
93,6.546264
94,12.231926
95,12.163601
96,12.056278
97,22.333336
98,12.093047
99,12.424033
100,6.9669657
101,8.516284
102,15.779559
103,13.069589
104,4.662775
105,30.402096
106,27.16096
107,12.822231
108,20.441061
109,10.694764
110,14.289813
111,7.1488585
112,20.392878
113,23.917208
114,15.998432
115,11.324718
116,10.689794
117,26.77624
118,19.524677
119,14.345502
120,12.322948
121,23.30816
122,10.263334
123,19.422155
124,31.828077
125,12.141331
126,13.078993
127,7.1385345
128,5.2472177
129,12.67754
130,17.269835
131,13.651809
132,13.972011
133,15.412239
134,23.257317
135,19.156424
136,22.78397
137,6.4542975
138,16.55623
139,30.219013
140,24.841652
141,17.527712
142,25.21968
143,25.381384
144,14.270883
145,33.943428
146,5.484295
147,13.431496
148,19.153997
149,16.052832
150,21.5258
151,9.253217
152,20.316994
153,5.5895724
154,32.2037
155,17.554745
156,16.653095
157,25.720943
158,17.28833
159,19.081654
160,18.607512
161,23.374449
162,13.763159
163,15.570816
164,16.663382
165,23.325052
166,26.572817
167,16.634247
168,27.519144
169,16.78215
170,12.506725
171,13.094174
172,24.572826
173,33.8441
174,20.298004
175,6.407182
176,7.9198084
177,31.020723
178,27.28657
179,23.023584
180,15.996687
181,23.361954
182,25.130293
183,10.815165
184,19.097546
185,11.292171
186,19.166016
187,6.572302
188,13.638656
189,25.281572
190,5.6897173
191,23.570938
192,25.338495
193,8.143455
194,12.402455
195,29.46992
196,8.754985
197,25.836021
198,12.719477
199,19.270912
200,23.949322
201,16.7936
202,22.824413
203,13.330167
204,25.89741
205,21.526371
206,16.991621
207,27.387623
208,16.448387
209,9.192938
210,10.544689
211,16.796904
212,30.236435
213,6.9032493
214,12.056311
215,13.698961
216,7.897226
217,15.3197
218,11.468286
219,11.355819
220,15.769186
221,10.775163
222,14.867963
223,13.537154
224,23.900904
225,20.165512
226,14.641281
227,7.7919836
228,11.52861
229,32.277218
230,16.48138
231,7.9706473
232,14.273581
233,21.09947
234,11.130295
235,30.053743
236,19.677532
237,18.996609
238,20.703665
239,29.542866
240,13.220479
241,27.065414
242,27.902039
243,27.323503
244,13.0861635
245,11.663493
246,15.249743
247,25.826197
248,19.140024
249,13.31771
250,21.50672
251,16.311954
252,20.137003
253,11.783704
254,12.39744
255,10.580041
256,7.1385345
257,19.1452
258,14.802904
259,6.7476315
260,13.682261
261,4.5726714
262,6.5390925
263,21.73332
264,15.602726
265,6.643253
266,24.671083
267,25.443869
268,8.000872
269,14.094162
270,14.331068
271,8.100722
272,18.88376
273,11.20867
274,8.986215
275,17.601288
276,20.33096
277,9.775067
278,15.644501
279,17.745857
280,21.341303
281,20.447195
282,18.748589
283,24.734066
284,17.857855
285,21.8517
286,21.67472
287,27.485134
288,6.5103254
289,19.176956
290,13.556844
291,16.670124
292,5.0899687
293,5.319651
294,22.284937
295,15.508449
296,6.9376264
297,22.282501
298,12.608554
299,11.823064
300,13.169007
301,21.791464
302,10.67532
303,18.649134
304,14.025669
305,18.658325
306,21.453783
307,27.401344
308,13.595995
309,12.167565
310,12.099303
311,23.16413
312,10.379733
313,23.222654
314,16.894978
315,15.950361
316,26.64063
317,17.827812
318,19.127016
319,16.349014
320,5.077152
321,7.2473836
322,24.737074
323,19.0093
324,8.920087
325,19.229137
326,4.5823083
327,24.417002
328,19.216143
329,23.982729
330,10.969883
331,23.953485
332,13.437788
333,6.521094
334,13.63238
335,13.451509
336,23.920868
337,10.245645
338,11.339703
339,22.14515
340,13.848979
341,10.689794
342,21.297152
343,15.624367
344,5.625773
345,18.164736
346,26.84067
347,22.160107
348,19.212244
349,16.797916
350,9.45045
351,22.430508
352,17.580389
353,14.581158
354,6.9409714
355,16.815819
356,22.344967
357,17.04611
358,23.411753
359,15.336543
360,7.06131
361,19.201643
362,11.718654
363,14.099339
364,19.507269
365,32.696922
366,15.72873
367,15.6469555
368,7.038616
369,14.35797
370,16.73373
371,16.721228
372,17.314293
373,12.226558
374,4.7309856
375,14.339083
376,9.550247
377,10.598429
378,16.531715
379,20.145102
380,25.725534
381,15.439054
382,12.1186075
383,21.598501
384,5.631437
385,15.091395
386,16.622158
387,17.53596
388,15.35386
389,16.53341
390,30.348486
391,12.790818
392,27.712212
393,17.261826
394,9.36486
395,14.314978
396,28.97589
397,19.2044
398,22.29345
399,13.699588
400,14.942907
401,19.130419
402,8.084145
403,29.985043
404,28.942211
405,12.589092
406,10.599893
407,24.596043
408,13.816776
409,17.57685
410,18.988913
411,7.324706
412,24.321733
413,13.392502
414,10.149614
415,18.641573
416,20.471193
417,24.882404
418,24.850212
419,11.010906
420,17.162788
421,5.0671687
422,9.637406
423,14.261033
424,20.681957
425,13.903886
